playermatch_key,match_id,player_id,batting_hand,bowling_skill,role_desc,team_id
21419,598077,88,Right-hand bat,N/A,Keeper,7
19866,598007,3,Right-hand bat,Right-arm medium,Captain,7
19867,598007,50,Right-hand bat,Right-arm offbreak,Player,7
19868,598007,57,Right-hand bat,Right-arm offbreak,Player,7
19869,598007,88,Right-hand bat,N/A,Keeper,7
19870,598007,126,Right-hand bat,Right-arm medium-fast,Player,7
19871,598007,131,Left-hand bat,Slow left-arm orthodox,Player,7
19872,598007,133,Right-hand bat,Right-arm offbreak,Player,7
19873,598007,147,Right-hand bat,Right-arm medium,Player,7
19874,598007,208,Right-hand bat,Right-arm offbreak,Player,7
19875,598007,221,Right-hand bat,Right-arm medium-fast,Player,7
19876,598007,357,Left-hand bat,Left-arm fast,Player,7
19877,598007,19,Left-hand bat,Right-arm medium,Player,3
19878,598007,20,Right-hand bat,Right-arm medium,CaptainKeeper,3
19879,598007,21,Left-hand bat,Right-arm offbreak,Player,3
19880,598007,23,Right-hand bat,Right-arm offbreak,Player,3
19881,598007,35,Left-hand bat,Slow left-arm orthodox,Player,3
19882,598007,71,Right-hand bat,Right-arm medium-fast,Player,3
19883,598007,185,Right-hand bat,Right-arm offbreak,Player,3
19884,598007,201,Right-hand bat,Right-arm offbreak,Player,3
19885,598007,223,Right-hand bat,Left-arm fast,Player,3
19886,598007,343,Right-hand bat,Right-arm fast-medium,Player,3
19887,598007,344,Right-hand bat,Right-arm medium,Player,3
19910,598009,8,Right-hand bat,Right-arm medium,Captain,2
19911,598009,81,Right-hand bat,Right-arm medium,Player,2
19912,598009,83,Left-hand bat,Slow left-arm orthodox,Player,2
19913,598009,121,Right-hand bat,Right-arm offbreak,Player,2
19914,598009,135,Right-hand bat,Right-arm offbreak,Player,2
19915,598009,162,Left-hand bat,Right-arm offbreak,Player,2
19916,598009,163,Right-hand bat,Right-arm fast-medium,Player,2
19917,598009,239,Right-hand bat,Legbreak googly,Keeper,2
19918,598009,260,Right-hand bat,N/A,Player,2
19919,598009,339,Right-hand bat,Right-arm offbreak,Player,2
19920,598009,346,Right-hand bat,Left-arm medium,Player,2
19921,598009,10,Right-hand bat,Legbreak googly,Player,11
19922,598009,17,Left-hand bat,N/A,Keeper,11
19923,598009,26,Left-hand bat,Right-arm offbreak,Captain,11
19924,598009,84,Right-hand bat,Right-arm fast-medium,Player,11
19925,598009,94,Right-hand bat,Right-arm fast,Player,11
19926,598009,136,Right-hand bat,Legbreak,Player,11
19927,598009,280,Left-hand bat,Right-arm medium-fast,Player,11
19928,598009,314,Left-hand bat,Slow left-arm orthodox,Player,11
19929,598009,325,Right-hand bat,Right-arm medium,Player,11
19930,598009,331,Right-hand bat,Legbreak,Player,11
19931,598009,340,Right-hand bat,Right-arm offbreak,Player,11
19954,598011,3,Right-hand bat,Right-arm medium,Captain,7
19955,598011,50,Right-hand bat,Right-arm offbreak,Player,7
19956,598011,57,Right-hand bat,Right-arm offbreak,Player,7
19957,598011,88,Right-hand bat,N/A,Keeper,7
19958,598011,131,Left-hand bat,Slow left-arm orthodox,Player,7
19959,598011,133,Right-hand bat,Right-arm offbreak,Player,7
19960,598011,194,Right-hand bat,Right-arm fast,Player,7
19961,598011,208,Right-hand bat,Right-arm offbreak,Player,7
19962,598011,221,Right-hand bat,Right-arm medium-fast,Player,7
19963,598011,356,Right-hand bat,Right-arm medium-fast,Player,7
19964,598011,357,Left-hand bat,Left-arm fast,Player,7
19965,598011,29,Left-hand bat,Left-arm medium-fast,Player,6
19966,598011,64,Right-hand bat,Right-arm medium,Captain,6
19967,598011,73,Right-hand bat,Left-arm medium-fast,Player,6
19968,598011,187,Left-hand bat,Legbreak,Player,6
19969,598011,190,Left-hand bat,Right-arm fast,Player,6
19970,598011,232,Right-hand bat,Right-arm fast-medium,Player,6
19971,598011,237,Right-hand bat,Right-arm offbreak,Keeper,6
19972,598011,262,Right-hand bat,Right-arm offbreak,Player,6
19973,598011,293,Right-hand bat,Slow left-arm orthodox,Player,6
19974,598011,338,Right-hand bat,Right-arm offbreak,Player,6
19975,598011,348,Left-hand bat,Legbreak,Player,6
19998,598013,8,Right-hand bat,Right-arm medium,Captain,2
19999,598013,61,Right-hand bat,Left-arm fast-medium,Player,2
20000,598013,81,Right-hand bat,Right-arm medium,Player,2
20001,598013,110,Right-hand bat,Right-arm medium,Player,2
20002,598013,121,Right-hand bat,Right-arm offbreak,Player,2
20003,598013,162,Left-hand bat,Right-arm offbreak,Player,2
20004,598013,163,Right-hand bat,Right-arm fast-medium,Player,2
20005,598013,239,Right-hand bat,Legbreak googly,Keeper,2
20006,598013,260,Right-hand bat,N/A,Player,2
20007,598013,346,Right-hand bat,Left-arm medium,Player,2
20008,598013,354,Right-hand bat,N/A,Player,2
20009,598013,9,Right-hand bat,Right-arm fast-medium,Player,1
20010,598013,31,Right-hand bat,Right-arm offbreak,Player,1
20011,598013,40,Left-hand bat,Legbreak,Captain,1
20012,598013,87,Right-hand bat,Legbreak googly,Player,1
20013,598013,89,Right-hand bat,Right-arm medium-fast,Player,1
20014,598013,116,Right-hand bat,Left-arm medium,Player,1
20015,598013,151,Right-hand bat,Right-arm medium-fast,Player,1
20016,598013,210,Left-hand bat,Right-arm medium-fast,Player,1
20017,598013,214,Right-hand bat,N/A,Keeper,1
20018,598013,216,Left-hand bat,Right-arm medium,Player,1
20019,598013,315,Left-hand bat,Right-arm offbreak,Player,1
20130,598019,4,Right-hand bat,Right-arm offbreak,Player,4
20131,598019,14,Right-hand bat,Right-arm medium,Player,4
20132,598019,53,Left-hand bat,Right-arm offbreak,CaptainKeeper,4
20133,598019,67,Left-hand bat,Legbreak,Player,4
20134,598019,188,Right-hand bat,Right-arm fast,Player,4
20135,598019,209,Right-hand bat,Right-arm medium,Player,4
20136,598019,236,Right-hand bat,Right-arm medium,Player,4
20137,598019,321,Right-hand bat,Right-arm fast-medium,Player,4
20138,598019,329,Right-hand bat,Right-arm offbreak,Player,4
20139,598019,333,Right-hand bat,Right-arm medium,Player,4
20140,598019,345,Right-hand bat,Right-arm medium,Player,4
20141,598019,6,Right-hand bat,Right-arm offbreak,Captain,5
20142,598019,32,Right-hand bat,Right-arm fast-medium,Player,5
20143,598019,39,Right-hand bat,Right-arm medium,Player,5
20144,598019,77,Right-hand bat,Right-arm fast-medium,Player,5
20145,598019,85,Right-hand bat,Right-arm medium,Player,5
20146,598019,104,Right-hand bat,Right-arm offbreak,Player,5
20147,598019,255,Right-hand bat,Right-arm medium,Player,5
20148,598019,309,Right-hand bat,Right-arm medium,Player,5
20149,598019,310,Right-hand bat,Left-arm fast-medium,Player,5
20150,598019,335,Right-hand bat,Right-arm offbreak,Player,5
20151,598019,351,Right-hand bat,N/A,Keeper,5
20174,598021,4,Right-hand bat,Right-arm offbreak,Player,4
20175,598021,14,Right-hand bat,Right-arm medium,Player,4
20176,598021,53,Left-hand bat,Right-arm offbreak,CaptainKeeper,4
20177,598021,67,Left-hand bat,Legbreak,Player,4
20178,598021,120,Right-hand bat,Right-arm medium,Player,4
20179,598021,236,Right-hand bat,Right-arm medium,Player,4
20180,598021,320,Left-hand bat,Right-arm offbreak,Player,4
20181,598021,321,Right-hand bat,Right-arm fast-medium,Player,4
20182,598021,329,Right-hand bat,Right-arm offbreak,Player,4
20183,598021,333,Right-hand bat,Right-arm medium,Player,4
20184,598021,345,Right-hand bat,Right-arm medium,Player,4
20185,598021,9,Right-hand bat,Right-arm fast-medium,Player,1
20186,598021,31,Right-hand bat,Right-arm offbreak,Player,1
20187,598021,40,Left-hand bat,Legbreak,Captain,1
20188,598021,87,Right-hand bat,Legbreak googly,Player,1
20189,598021,89,Right-hand bat,Right-arm medium-fast,Player,1
20190,598021,95,Right-hand bat,Legbreak googly,Player,1
20191,598021,151,Right-hand bat,Right-arm medium-fast,Player,1
20192,598021,214,Right-hand bat,N/A,Keeper,1
20193,598021,216,Left-hand bat,Right-arm medium,Player,1
20194,598021,315,Left-hand bat,Right-arm offbreak,Player,1
20195,598021,352,Right-hand bat,Right-arm offbreak,Player,1
20218,598023,10,Right-hand bat,Legbreak googly,Captain,11
20219,598023,17,Left-hand bat,N/A,Keeper,11
20220,598023,84,Right-hand bat,Right-arm fast-medium,Player,11
20221,598023,94,Right-hand bat,Right-arm fast,Player,11
20222,598023,136,Right-hand bat,Legbreak,Player,11
20223,598023,166,Left-hand bat,Legbreak googly,Player,11
20224,598023,280,Left-hand bat,Right-arm medium-fast,Player,11
20225,598023,325,Right-hand bat,Right-arm medium,Player,11
20226,598023,327,Right-hand bat,N/A,Player,11
20227,598023,340,Right-hand bat,Right-arm offbreak,Player,11
20228,598023,355,Left-hand bat,N/A,Player,11
20229,598023,46,Right-hand bat,Right-arm medium,Keeper,10
20230,598023,48,Left-hand bat,Right-arm medium,Player,10
20231,598023,96,Right-hand bat,Right-arm medium,Player,10
20232,598023,106,Right-hand bat,Right-arm medium-fast,Player,10
20233,598023,178,Right-hand bat,Right-arm offbreak,Player,10
20234,598023,191,Right-hand bat,Right-arm fast-medium,Captain,10
20235,598023,235,Right-hand bat,Right-arm offbreak,Player,10
20236,598023,253,Right-hand bat,Right-arm medium,Player,10
20237,598023,254,Right-hand bat,Slow left-arm orthodox,Player,10
20238,598023,299,Right-hand bat,Right-arm medium,Player,10
20239,598023,306,Right-hand bat,Legbreak googly,Player,10
20306,598027,9,Right-hand bat,Right-arm fast-medium,Player,1
20307,598027,31,Right-hand bat,Right-arm offbreak,Player,1
20308,598027,40,Left-hand bat,Legbreak,Captain,1
20309,598027,63,Right-hand bat,Right-arm medium,Player,1
20310,598027,87,Right-hand bat,Legbreak googly,Player,1
20311,598027,89,Right-hand bat,Right-arm medium-fast,Player,1
20312,598027,95,Right-hand bat,Legbreak googly,Keeper,1
20313,598027,151,Right-hand bat,Right-arm medium-fast,Player,1
20314,598027,216,Left-hand bat,Right-arm medium,Player,1
20315,598027,315,Left-hand bat,Right-arm offbreak,Player,1
20316,598027,352,Right-hand bat,Right-arm offbreak,Player,1
20317,598027,19,Left-hand bat,Right-arm medium,Player,3
20318,598027,20,Right-hand bat,Right-arm medium,CaptainKeeper,3
20319,598027,21,Left-hand bat,Right-arm offbreak,Player,3
20320,598027,23,Right-hand bat,Right-arm offbreak,Player,3
20321,598027,35,Left-hand bat,Slow left-arm orthodox,Player,3
20322,598027,71,Right-hand bat,Right-arm medium-fast,Player,3
20323,598027,109,Left-hand bat,Right-arm medium-fast,Player,3
20324,598027,185,Right-hand bat,Right-arm offbreak,Player,3
20325,598027,201,Right-hand bat,Right-arm offbreak,Player,3
20326,598027,350,Right-hand bat,Right-arm fast-medium,Player,3
20327,598027,364,Right-hand bat,Right-arm medium,Player,3
20350,598029,3,Right-hand bat,Right-arm medium,Captain,7
20351,598029,50,Right-hand bat,Right-arm offbreak,Player,7
20352,598029,57,Right-hand bat,Right-arm offbreak,Player,7
20353,598029,88,Right-hand bat,N/A,Keeper,7
20354,598029,126,Right-hand bat,Right-arm medium-fast,Player,7
20355,598029,133,Right-hand bat,Right-arm offbreak,Player,7
20356,598029,147,Right-hand bat,Right-arm medium,Player,7
20357,598029,194,Right-hand bat,Right-arm fast,Player,7
20358,598029,208,Right-hand bat,Right-arm offbreak,Player,7
20359,598029,221,Right-hand bat,Right-arm medium-fast,Player,7
20360,598029,375,Right-hand bat,Right-arm medium,Player,7
20361,598029,29,Left-hand bat,Left-arm medium-fast,Player,6
20362,598029,41,Right-hand bat,Right-arm offbreak,Player,6
20363,598029,54,Right-hand bat,Right-arm offbreak,Player,6
20364,598029,64,Right-hand bat,Right-arm medium,Captain,6
20365,598029,82,Right-hand bat,Right-arm fast,Player,6
20366,598029,177,Right-hand bat,Slow left-arm orthodox,Player,6
20367,598029,187,Left-hand bat,Legbreak,Player,6
20368,598029,232,Right-hand bat,Right-arm fast-medium,Player,6
20369,598029,237,Right-hand bat,Right-arm offbreak,Keeper,6
20370,598029,293,Right-hand bat,Slow left-arm orthodox,Player,6
20371,598029,334,Right-hand bat,Right-arm fast,Player,6
20438,598033,14,Right-hand bat,Right-arm medium,Player,4
20439,598033,53,Left-hand bat,Right-arm offbreak,CaptainKeeper,4
20440,598033,67,Left-hand bat,Legbreak,Player,4
20441,598033,100,Left-hand bat,Slow left-arm orthodox,Player,4
20442,598033,209,Right-hand bat,Right-arm medium,Player,4
20443,598033,236,Right-hand bat,Right-arm medium,Player,4
20444,598033,320,Left-hand bat,Right-arm offbreak,Player,4
20445,598033,321,Right-hand bat,Right-arm fast-medium,Player,4
20446,598033,333,Right-hand bat,Right-arm medium,Player,4
20447,598033,345,Right-hand bat,Right-arm medium,Player,4
20448,598033,367,Right-hand bat,Right-arm medium,Player,4
20449,598033,29,Left-hand bat,Left-arm medium-fast,Player,6
20450,598033,41,Right-hand bat,Right-arm offbreak,Player,6
20451,598033,64,Right-hand bat,Right-arm medium,Captain,6
20452,598033,73,Right-hand bat,Left-arm medium-fast,Player,6
20453,598033,187,Left-hand bat,Legbreak,Player,6
20454,598033,190,Left-hand bat,Right-arm fast,Player,6
20455,598033,232,Right-hand bat,Right-arm fast-medium,Player,6
20456,598033,262,Right-hand bat,Right-arm offbreak,Player,6
20457,598033,353,Left-hand bat,N/A,Player,6
20458,598033,360,Right-hand bat,N/A,Keeper,6
20459,598033,368,Right-hand bat,Right-arm medium,Player,6
20526,598037,6,Right-hand bat,Right-arm offbreak,Captain,5
20527,598037,32,Right-hand bat,Right-arm fast-medium,Player,5
20528,598037,39,Right-hand bat,Right-arm medium,Player,5
20529,598037,85,Right-hand bat,Right-arm medium,Player,5
20530,598037,104,Right-hand bat,Right-arm offbreak,Player,5
20531,598037,255,Right-hand bat,Right-arm medium,Player,5
20532,598037,277,Left-hand bat,N/A,Keeper,5
20533,598037,309,Right-hand bat,Right-arm medium,Player,5
20534,598037,310,Right-hand bat,Left-arm fast-medium,Player,5
20535,598037,335,Right-hand bat,Right-arm offbreak,Player,5
20536,598037,369,Left-hand bat,Right-arm offbreak,Player,5
20537,598037,26,Left-hand bat,Right-arm offbreak,CaptainKeeper,11
20538,598037,42,Left-hand bat,Right-arm offbreak,Player,11
20539,598037,84,Right-hand bat,Right-arm fast-medium,Player,11
20540,598037,94,Right-hand bat,Right-arm fast,Player,11
20541,598037,136,Right-hand bat,Legbreak,Player,11
20542,598037,166,Left-hand bat,Legbreak googly,Player,11
20543,598037,280,Left-hand bat,Right-arm medium-fast,Player,11
20544,598037,325,Right-hand bat,Right-arm medium,Player,11
20545,598037,331,Right-hand bat,Legbreak,Player,11
20546,598037,340,Right-hand bat,Right-arm offbreak,Player,11
20547,598037,362,Right-hand bat,Right-arm medium-fast,Player,11
20570,598039,2,Right-hand bat,Right-arm medium,Player,1
20571,598039,9,Right-hand bat,Right-arm fast-medium,Player,1
20572,598039,31,Right-hand bat,Right-arm offbreak,Player,1
20573,598039,40,Left-hand bat,Legbreak,Captain,1
20574,598039,89,Right-hand bat,Right-arm medium-fast,Player,1
20575,598039,95,Right-hand bat,Legbreak googly,Player,1
20576,598039,151,Right-hand bat,Right-arm medium-fast,Player,1
20577,598039,214,Right-hand bat,N/A,Keeper,1
20578,598039,216,Left-hand bat,Right-arm medium,Player,1
20579,598039,315,Left-hand bat,Right-arm offbreak,Player,1
20580,598039,347,Right-hand bat,Right-arm fast-medium,Player,1
20581,598039,19,Left-hand bat,Right-arm medium,Player,3
20582,598039,20,Right-hand bat,Right-arm medium,CaptainKeeper,3
20583,598039,21,Left-hand bat,Right-arm offbreak,Player,3
20584,598039,23,Right-hand bat,Right-arm offbreak,Player,3
20585,598039,35,Left-hand bat,Slow left-arm orthodox,Player,3
20586,598039,62,Right-hand bat,N/A,Player,3
20587,598039,71,Right-hand bat,Right-arm medium-fast,Player,3
20588,598039,201,Right-hand bat,Right-arm offbreak,Player,3
20589,598039,223,Right-hand bat,Left-arm fast,Player,3
20590,598039,350,Right-hand bat,Right-arm fast-medium,Player,3
20591,598039,364,Right-hand bat,Right-arm medium,Player,3
20614,598041,8,Right-hand bat,Right-arm medium,Captain,2
20615,598041,61,Right-hand bat,Left-arm fast-medium,Player,2
20616,598041,79,Left-hand bat,N/A,Player,2
20617,598041,81,Right-hand bat,Right-arm medium,Player,2
20618,598041,83,Left-hand bat,Slow left-arm orthodox,Player,2
20619,598041,110,Right-hand bat,Right-arm medium,Keeper,2
20620,598041,152,Left-hand bat,Legbreak googly,Player,2
20621,598041,162,Left-hand bat,Right-arm offbreak,Player,2
20622,598041,163,Right-hand bat,Right-arm fast-medium,Player,2
20623,598041,346,Right-hand bat,Left-arm medium,Player,2
20624,598041,349,Left-hand bat,Right-arm fast-medium,Player,2
20625,598041,6,Right-hand bat,Right-arm offbreak,Captain,5
20626,598041,32,Right-hand bat,Right-arm fast-medium,Player,5
20627,598041,39,Right-hand bat,Right-arm medium,Player,5
20628,598041,77,Right-hand bat,Right-arm fast-medium,Player,5
20629,598041,85,Right-hand bat,Right-arm medium,Player,5
20630,598041,104,Right-hand bat,Right-arm offbreak,Player,5
20631,598041,204,Right-hand bat,Right-arm offbreak,Player,5
20632,598041,255,Right-hand bat,Right-arm medium,Player,5
20633,598041,310,Right-hand bat,Left-arm fast-medium,Player,5
20634,598041,335,Right-hand bat,Right-arm offbreak,Player,5
20635,598041,351,Right-hand bat,N/A,Keeper,5
20658,598043,19,Left-hand bat,Right-arm medium,Player,3
20659,598043,20,Right-hand bat,Right-arm medium,CaptainKeeper,3
20660,598043,21,Left-hand bat,Right-arm offbreak,Player,3
20661,598043,23,Right-hand bat,Right-arm offbreak,Player,3
20662,598043,35,Left-hand bat,Slow left-arm orthodox,Player,3
20663,598043,62,Right-hand bat,N/A,Player,3
20664,598043,71,Right-hand bat,Right-arm medium-fast,Player,3
20665,598043,109,Left-hand bat,Right-arm medium-fast,Player,3
20666,598043,201,Right-hand bat,Right-arm offbreak,Player,3
20667,598043,350,Right-hand bat,Right-arm fast-medium,Player,3
20668,598043,364,Right-hand bat,Right-arm medium,Player,3
20669,598043,27,Left-hand bat,Slow left-arm orthodox,Player,10
20670,598043,46,Right-hand bat,Right-arm medium,Keeper,10
20671,598043,48,Left-hand bat,Right-arm medium,Player,10
20672,598043,106,Right-hand bat,Right-arm medium-fast,Player,10
20673,598043,178,Right-hand bat,Right-arm offbreak,Player,10
20674,598043,235,Right-hand bat,Right-arm offbreak,Player,10
20675,598043,254,Right-hand bat,Slow left-arm orthodox,Captain,10
20676,598043,299,Right-hand bat,Right-arm medium,Player,10
20677,598043,306,Right-hand bat,Legbreak googly,Player,10
20678,598043,358,Right-hand bat,Right-arm medium-fast,Player,10
20679,598043,363,Right-hand bat,Right-arm fast-medium,Player,10
20746,598047,8,Right-hand bat,Right-arm medium,Captain,2
20747,598047,61,Right-hand bat,Left-arm fast-medium,Player,2
20748,598047,79,Left-hand bat,N/A,Player,2
20749,598047,81,Right-hand bat,Right-arm medium,Player,2
20750,598047,83,Left-hand bat,Slow left-arm orthodox,Player,2
20751,598047,110,Right-hand bat,Right-arm medium,Player,2
20752,598047,121,Right-hand bat,Right-arm offbreak,Player,2
20753,598047,162,Left-hand bat,Right-arm offbreak,Player,2
20754,598047,163,Right-hand bat,Right-arm fast-medium,Player,2
20755,598047,239,Right-hand bat,Legbreak googly,Keeper,2
20756,598047,354,Right-hand bat,N/A,Player,2
20757,598047,27,Left-hand bat,Slow left-arm orthodox,Player,10
20758,598047,46,Right-hand bat,Right-arm medium,Keeper,10
20759,598047,48,Left-hand bat,Right-arm medium,Player,10
20760,598047,106,Right-hand bat,Right-arm medium-fast,Player,10
